type1,classifier1,class1,type2,classifier2,class2,overlap
SourcesOfInterest,FINK_PORTAL,Solar System MPC,SourcesOfInterest,FINK_PORTAL,Solar System MPC,56291.0
AlertsOfInterest,FINK_PORTAL,Solar System MPC,AlertsOfInterest,FINK_PORTAL,Solar System MPC,56291.0
AlertsOfInterest,FEATURES,FC-3,AlertsOfInterest,FEATURES,FC-3,3358.0
SourcesOfInterest,FEATURES,FC-3,SourcesOfInterest,FEATURES,FC-3,3358.0
AlertsOfInterest,FEATURES,FC-11,AlertsOfInterest,FEATURES,FC-11,2753.0
SourcesOfInterest,FEATURES,FC-11,SourcesOfInterest,FEATURES,FC-11,2753.0
SourcesOfInterest,FINK_PORTAL,QSO,SourcesOfInterest,FINK_PORTAL,QSO,1737.0
AlertsOfInterest,FINK_PORTAL,QSO,AlertsOfInterest,FINK_PORTAL,QSO,1737.0
AlertsOfInterest,FINK_PORTAL,SN candidate,AlertsOfInterest,FINK_PORTAL,SN candidate,1431.0
SourcesOfInterest,FINK_PORTAL,SN candidate,SourcesOfInterest,FINK_PORTAL,SN candidate,1431.0
AlertsOfInterest,FINK_PORTAL,Solar System candidate,AlertsOfInterest,FINK_PORTAL,Solar System candidate,1260.0
SourcesOfInterest,FINK_PORTAL,Solar System candidate,SourcesOfInterest,FINK_PORTAL,Solar System candidate,1260.0
SourcesOfInterest,FINK_PORTAL,Tracklet,SourcesOfInterest,FINK_PORTAL,Tracklet,915.0
AlertsOfInterest,FINK_PORTAL,Tracklet,AlertsOfInterest,FINK_PORTAL,Tracklet,915.0
SourcesOfInterest,FEATURES,FC-13,SourcesOfInterest,FEATURES,FC-13,767.0
AlertsOfInterest,FEATURES,FC-13,AlertsOfInterest,FEATURES,FC-13,767.0
AlertsOfInterest,FEATURES,FC-6,AlertsOfInterest,FEATURES,FC-6,701.0
SourcesOfInterest,FEATURES,FC-6,SourcesOfInterest,FEATURES,FC-6,701.0
SourcesOfInterest,FINK_PORTAL,Star,SourcesOfInterest,FINK_PORTAL,Star,585.0
AlertsOfInterest,FINK_PORTAL,Star,AlertsOfInterest,FINK_PORTAL,Star,585.0
SourcesOfInterest,FEATURES,FC-17,SourcesOfInterest,FEATURES,FC-17,492.0
AlertsOfInterest,FEATURES,FC-17,AlertsOfInterest,FEATURES,FC-17,492.0
SourcesOfInterest,FINK_PORTAL,EclBin,SourcesOfInterest,FINK_PORTAL,EclBin,274.0
AlertsOfInterest,FINK_PORTAL,EclBin,AlertsOfInterest,FINK_PORTAL,EclBin,274.0
SourcesOfInterest,FEATURES,FC-15,SourcesOfInterest,FEATURES,FC-15,212.0
AlertsOfInterest,FEATURES,FC-15,AlertsOfInterest,FEATURES,FC-15,212.0
AlertsOfInterest,FINK_PORTAL,EB*,AlertsOfInterest,FINK_PORTAL,EB*,193.0
SourcesOfInterest,FINK_PORTAL,EB*,SourcesOfInterest,FINK_PORTAL,EB*,193.0
AlertsOfInterest,FINK_PORTAL,RRLyr,AlertsOfInterest,FINK_PORTAL,RRLyr,184.0
SourcesOfInterest,FINK_PORTAL,RRLyr,SourcesOfInterest,FINK_PORTAL,RRLyr,184.0
SourcesOfInterest,FINK_PORTAL,V*,SourcesOfInterest,FINK_PORTAL,V*,155.0
AlertsOfInterest,FINK_PORTAL,V*,AlertsOfInterest,FINK_PORTAL,V*,155.0
AlertsOfInterest,FINK_PORTAL,EB*_Candidate,AlertsOfInterest,FINK_PORTAL,EB*_Candidate,141.0
SourcesOfInterest,FINK_PORTAL,EB*_Candidate,SourcesOfInterest,FINK_PORTAL,EB*_Candidate,141.0
SourcesOfInterest,FEATURES,FC-3,SourcesOfInterest,FINK_PORTAL,Star,105.0
AlertsOfInterest,FEATURES,FC-3,AlertsOfInterest,FINK_PORTAL,Star,105.0
AlertsOfInterest,FINK_PORTAL,Star,AlertsOfInterest,FEATURES,FC-3,105.0
SourcesOfInterest,FINK_PORTAL,Star,SourcesOfInterest,FEATURES,FC-3,105.0
AlertsOfInterest,FINK_PORTAL,LongPeriodV*,AlertsOfInterest,FINK_PORTAL,LongPeriodV*,83.0
SourcesOfInterest,FINK_PORTAL,LongPeriodV*,SourcesOfInterest,FINK_PORTAL,LongPeriodV*,83.0
SourcesOfInterest,FEATURES,FC-13,SourcesOfInterest,FINK_PORTAL,QSO,81.0
AlertsOfInterest,FEATURES,FC-13,AlertsOfInterest,FINK_PORTAL,QSO,81.0
SourcesOfInterest,FINK_PORTAL,QSO,SourcesOfInterest,FEATURES,FC-13,81.0
AlertsOfInterest,FINK_PORTAL,QSO,AlertsOfInterest,FEATURES,FC-13,81.0
