type1,classifier1,class1,type2,classifier2,class2,overlap
AlertsOfInterest,FINK_PORTAL,Solar System MPC,AlertsOfInterest,FINK_PORTAL,Solar System MPC,6039.0
SourcesOfInterest,FINK_PORTAL,Solar System MPC,SourcesOfInterest,FINK_PORTAL,Solar System MPC,6039.0
AlertsOfInterest,FINK_PORTAL,Tracklet,AlertsOfInterest,FINK_PORTAL,Tracklet,319.0
SourcesOfInterest,FINK_PORTAL,Tracklet,SourcesOfInterest,FINK_PORTAL,Tracklet,319.0
AlertsOfInterest,FINK_PORTAL,SN candidate,AlertsOfInterest,FINK_PORTAL,SN candidate,255.0
SourcesOfInterest,FINK_PORTAL,SN candidate,SourcesOfInterest,FINK_PORTAL,SN candidate,255.0
SourcesOfInterest,FEATURES,FC-4,SourcesOfInterest,FEATURES,FC-4,246.0
AlertsOfInterest,FEATURES,FC-4,AlertsOfInterest,FEATURES,FC-4,246.0
SourcesOfInterest,FEATURES,FC-0,SourcesOfInterest,FEATURES,FC-0,239.0
AlertsOfInterest,FEATURES,FC-0,AlertsOfInterest,FEATURES,FC-0,239.0
SourcesOfInterest,FEATURES,FC-1,SourcesOfInterest,FEATURES,FC-1,108.0
AlertsOfInterest,FEATURES,FC-1,AlertsOfInterest,FEATURES,FC-1,108.0
AlertsOfInterest,FINK_PORTAL,EB*,AlertsOfInterest,FINK_PORTAL,EB*,80.0
SourcesOfInterest,FINK_PORTAL,EB*,SourcesOfInterest,FINK_PORTAL,EB*,80.0
AlertsOfInterest,FINK_PORTAL,EclBin,AlertsOfInterest,FINK_PORTAL,EclBin,64.0
SourcesOfInterest,FINK_PORTAL,EclBin,SourcesOfInterest,FINK_PORTAL,EclBin,64.0
AlertsOfInterest,FINK_PORTAL,LongPeriodV*,AlertsOfInterest,FINK_PORTAL,LongPeriodV*,60.0
SourcesOfInterest,FINK_PORTAL,LongPeriodV*,SourcesOfInterest,FINK_PORTAL,LongPeriodV*,60.0
SourcesOfInterest,FINK_PORTAL,V*,SourcesOfInterest,FINK_PORTAL,V*,48.0
AlertsOfInterest,FINK_PORTAL,V*,AlertsOfInterest,FINK_PORTAL,V*,48.0
SourcesOfInterest,FINK_PORTAL,Solar System candidate,SourcesOfInterest,FINK_PORTAL,Solar System candidate,47.0
AlertsOfInterest,FINK_PORTAL,Solar System candidate,AlertsOfInterest,FINK_PORTAL,Solar System candidate,47.0
AlertsOfInterest,FINK_PORTAL,LPV*,AlertsOfInterest,FINK_PORTAL,LPV*,45.0
SourcesOfInterest,FINK_PORTAL,LPV*,SourcesOfInterest,FINK_PORTAL,LPV*,45.0
AlertsOfInterest,FINK_PORTAL,Star,AlertsOfInterest,FINK_PORTAL,Star,41.0
SourcesOfInterest,FINK_PORTAL,Star,SourcesOfInterest,FINK_PORTAL,Star,41.0
SourcesOfInterest,FINK_PORTAL,RRLyr,SourcesOfInterest,FINK_PORTAL,RRLyr,32.0
AlertsOfInterest,FINK_PORTAL,RRLyr,AlertsOfInterest,FINK_PORTAL,RRLyr,32.0
AlertsOfInterest,FINK_PORTAL,WD*_Candidate,AlertsOfInterest,FINK_PORTAL,WD*_Candidate,27.0
SourcesOfInterest,FINK_PORTAL,WD*_Candidate,SourcesOfInterest,FINK_PORTAL,WD*_Candidate,27.0
SourcesOfInterest,FINK_PORTAL,CataclyV*,SourcesOfInterest,FINK_PORTAL,CataclyV*,24.0
AlertsOfInterest,FINK_PORTAL,CataclyV*,AlertsOfInterest,FINK_PORTAL,CataclyV*,24.0
SourcesOfInterest,FINK_PORTAL,EB*_Candidate,SourcesOfInterest,FINK_PORTAL,EB*_Candidate,21.0
AlertsOfInterest,FINK_PORTAL,EB*_Candidate,AlertsOfInterest,FINK_PORTAL,EB*_Candidate,21.0
AlertsOfInterest,FINK_PORTAL,YSO_Candidate,AlertsOfInterest,FINK_PORTAL,YSO_Candidate,18.0
SourcesOfInterest,FINK_PORTAL,YSO_Candidate,SourcesOfInterest,FINK_PORTAL,YSO_Candidate,18.0
SourcesOfInterest,FINK_PORTAL,QSO,SourcesOfInterest,FINK_PORTAL,QSO,15.0
AlertsOfInterest,FINK_PORTAL,QSO,AlertsOfInterest,FINK_PORTAL,QSO,15.0
SourcesOfInterest,FINK_PORTAL,LP*_Candidate,SourcesOfInterest,FINK_PORTAL,LP*_Candidate,13.0
AlertsOfInterest,FINK_PORTAL,LP*_Candidate,AlertsOfInterest,FINK_PORTAL,LP*_Candidate,13.0
SourcesOfInterest,FINK_PORTAL,Variable*,SourcesOfInterest,FINK_PORTAL,Variable*,8.0
