type1,classifier1,class1,type2,classifier2,class2,overlap
SourcesOfInterest,FEATURES,FC-0,SourcesOfInterest,FEATURES,FC-0,103013.0
SourcesOfInterest,FEATURES,FC-15,SourcesOfInterest,FEATURES,FC-15,89408.0
SourcesOfInterest,FEATURES,FC-3,SourcesOfInterest,FEATURES,FC-3,82283.0
SourcesOfInterest,FEATURES,FC-1,SourcesOfInterest,FEATURES,FC-1,80065.0
SourcesOfInterest,FEATURES,FC-27,SourcesOfInterest,FEATURES,FC-27,69191.0
SourcesOfInterest,FEATURES,FC-0,SourcesOfInterest,FEATURES,FC-15,66202.0
SourcesOfInterest,FEATURES,FC-15,SourcesOfInterest,FEATURES,FC-0,66202.0
SourcesOfInterest,FEATURES,FC-14,SourcesOfInterest,FEATURES,FC-14,65063.0
SourcesOfInterest,FEATURES,FC-12,SourcesOfInterest,FEATURES,FC-12,62132.0
SourcesOfInterest,FEATURES,FC-3,SourcesOfInterest,FEATURES,FC-1,50124.0
SourcesOfInterest,FEATURES,FC-1,SourcesOfInterest,FEATURES,FC-3,50124.0
SourcesOfInterest,FINK_PORTAL,EclBin,SourcesOfInterest,FINK_PORTAL,EclBin,44920.0
SourcesOfInterest,FEATURES,FC-27,SourcesOfInterest,FEATURES,FC-1,44799.0
SourcesOfInterest,FEATURES,FC-1,SourcesOfInterest,FEATURES,FC-27,44799.0
SourcesOfInterest,FINK_PORTAL,LP*_Candidate,SourcesOfInterest,FINK_PORTAL,LP*_Candidate,43741.0
SourcesOfInterest,FEATURES,FC-14,SourcesOfInterest,FEATURES,FC-27,43441.0
SourcesOfInterest,FEATURES,FC-27,SourcesOfInterest,FEATURES,FC-14,43441.0
SourcesOfInterest,FINK_PORTAL,LPV*,SourcesOfInterest,FINK_PORTAL,LPV*,38118.0
SourcesOfInterest,FINK_PORTAL,Star,SourcesOfInterest,FINK_PORTAL,Star,37541.0
AlertsOfInterest,FEATURES,FC-15,AlertsOfInterest,FEATURES,FC-15,36402.61140736265
SourcesOfInterest,FEATURES,FC-0,SourcesOfInterest,FEATURES,FC-12,36305.0
