objectId,collect_list(fid),collect_list(magpsf),collect_list(jd),collect_list(class),maxclass
ZTF18abyitqb,1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2,0.09782957;-2.1420958;-0.4113921;-1.0919964;-0.2978773;-0.18592405;0.7807151;0.17593141;1.5402995;0.66711915;0;0;0;0;0;0,1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8,**;**;**;**;**;**;**;**;**;**;**;**;**;**;**;**,**
ZTF19aaerbpg,1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2,1.0783982;-2.9762764;-0.29191828;-2.4397542;-0.22503011;-1.5073309;0.71751606;-0.85094666;0.74565864;-0.5871082;0;0;0;0;0;0,1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8,EclBin;EclBin;EclBin;EclBin;EclBin;EclBin;EclBin;EclBin;EclBin;EclBin;EclBin;EclBin;EclBin;EclBin;EclBin;EclBin,EclBin
ZTF18accdvms,1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2,1.0585533;-3.9934382;0.11810522;-3.4343522;0.4173922;-2.5629292;1.0418984;-1.7148991;1.004104;-1.0999427;0;0;0;0;0;0,1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8,AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*,AGB*
ZTF18abryneo,1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2,-0.07998739;-3.317901;-0.14194201;-2.492014;-0.16288997;-1.5015028;0.22187176;-1.0904162;0.5378343;-0.7699749;0.37509954;-0.24541396;0;0;0;0,1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8,AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*,AGB*
ZTF18abvjsfs,1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2,-1.0679066;-2.9252653;-0.52286714;-2.0563593;0.056686632;-1.0783582;0.6328394;-0.5120601;0;0;0;0;0;0;0;0,1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8,AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*,AGB*
ZTF18absurtt,1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2,-0.0012059063;-3.5656247;-0.21925803;-2.7701254;0.1398524;-1.8240118;0.74135864;-1.1910176;0.92199963;-0.6289728;0;0;0;0;0;0,1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8,AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*,AGB*
ZTF18adivvmj,1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2,0.626947;-3.7343166;0.13423073;-2.9613476;0.097916506;-2.0291622;0.41713262;-1.4139633;0.726896;-1.0478768;1.057296;-0.68084884;0.90993357;-0.30873016;0;0,1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8,AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*;AGB*,AGB*
ZTF18abaxvvs,1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2,-0.021824345;-3.732068;-0.024124622;-2.9425852;0.59124756;-1.9159253;1.0711803;-1.0527711;0;0;0;0;0;0;0;0,1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8,AGB*_Candidate;AGB*_Candidate;AGB*_Candidate;AGB*_Candidate;AGB*_Candidate;AGB*_Candidate;AGB*_Candidate;AGB*_Candidate;AGB*_Candidate;AGB*_Candidate;AGB*_Candidate;AGB*_Candidate;AGB*_Candidate;AGB*_Candidate;AGB*_Candidate;AGB*_Candidate,AGB*_Candidate
ZTF18aaxwbwf,1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2,-2.0869446;0.6588361;-0.18450956;0.21711163;0.3224141;-0.02253417;0.08020012;-0.1288201;-0.11337258;-0.29639643;0.05996512;-0.31545916;0.30151498;-0.31149405;0;0,1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8,AGN;AGN;AGN;AGN;AGN;AGN;AGN;AGN;AGN;AGN;AGN;AGN;AGN;AGN;AGN;AGN,AGN
ZTF18acburzq,1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2,-2.2503107;0.7340142;-0.25935638;0.2755214;0.22345053;-0.025309049;0.116420336;-0.18127665;-0.016078308;-0.26231524;0.26138026;-0.12533835;0;0;0;0,1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8,AGN;AGN;AGN;AGN;AGN;AGN;AGN;AGN;AGN;AGN;AGN;AGN;AGN;AGN;AGN;AGN,AGN
ZTF20aagzurh,1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2,-1.3837801;1.6259935;0.064028084;0.57256556;0.036472894;0.030919049;-0.17055546;-0.10277663;0.31514657;-0.011744503;0;0;0;0;0;0,1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8,AGN;AGN;AGN;AGN;AGN;AGN;AGN;AGN;AGN;AGN;AGN;AGN;AGN;AGN;AGN;AGN,AGN
