ra,dec,mag,proper
0.017941,-48.809876,5.71,
0.022255,-50.337373,5.53,
0.026616,-77.065724,4.78,
0.026949,61.222801,5.58,
0.030402,-3.027504,5.13,
0.032672,-6.014072,4.37,
0.036139,27.082256,5.8,
0.038867,-29.720414,5.04,
0.041584,8.485463,5.7,
0.043357,66.098966,5.87,
0.06233,-17.335988,4.55,
0.070462,62.287664,5.9,
0.072165,-16.529036,5.78,
0.075033,-10.509523,4.99,
0.078131,-71.436891,5.59,
0.078304,67.166445,5.68,
0.085039,61.31397,5.8,
0.088928,-5.707618,4.61,
0.094989,13.396266,5.55,
0.104356,58.436733,5.98,
0.105277,-49.075191,5.7,
0.10737,64.196168,5.57,
0.129693,-22.50856,5.93,
0.134303,-33.529326,5.67,
0.138204,-8.824112,5.99,
0.139791,29.090432,2.07,Alpheratz
0.150672,18.211963,5.57,
0.152887,59.14978,2.28,Caph
0.155851,-27.987928,5.42,
0.156836,-45.747426,3.88,
0.167278,11.145813,5.54,
0.167293,-82.224047,5.29,
0.171908,-5.248588,5.84,
0.172012,46.072272,5.01,
0.178565,-12.579897,5.84,
0.187739,-15.467977,4.89,
0.192894,-27.799737,5.41,
0.195552,-35.133119,5.24,
0.202773,-17.938278,5.29,
0.220598,15.183596,2.83,Algenib
0.222099,-84.993978,5.78,
0.22524,41.03537,5.71,
0.228401,-26.022345,5.94,
0.241008,-7.780532,5.13,
0.243378,20.206702,4.79,
0.244005,-18.932866,4.44,
0.248476,-9.569571,5.77,
0.269126,-31.446394,5.66,
0.282513,61.533185,5.74,
0.284863,38.681636,4.61,
0.285845,47.947405,5.86,
0.305463,36.785224,4.51,
0.310625,31.517227,5.88,
0.323799,-8.823921,3.56,
0.334142,-64.874791,4.23,
0.340111,30.935614,5.89,
0.343295,8.190271,5.38,
0.344178,-69.624913,5.5,
0.345978,32.911186,5.79,
0.352017,37.968603,5.16,
0.357986,-77.426873,5.96,
0.358665,-28.981469,5.18,
0.362853,-20.058024,5.61,
0.404348,52.019914,5.58,
0.413193,61.831057,5.38,
0.418445,53.046786,5.72,
0.423391,1.939692,5.77,
0.427916,-77.254247,2.82,
0.436716,-43.679829,3.93,
0.438056,-42.305981,2.4,Ankaa
0.454085,-25.54717,5.99,
0.465472,-33.007167,4.86,
0.467475,17.893125,5.01,
0.470454,44.394452,5.18,
0.474027,-39.915002,5.42,
0.500655,-3.957332,5.72,
0.502045,29.751557,5.2,
0.505534,59.977554,5.94,
0.506293,-23.78768,5.17,
0.507242,-48.21491,5.67,
0.523594,-48.803514,4.76,
0.523787,33.581642,5.88,
0.525725,-62.958218,4.36,
0.525946,-62.965561,4.53,
0.528105,52.839526,5.59,
0.529539,54.522289,4.74,
0.539939,6.955463,5.69,
0.543189,20.294316,5.38,
0.545512,-63.0315,5.07,
0.549997,62.931783,4.17,
0.552879,54.894985,5.93,
0.561401,-29.558278,5.55,
0.574374,-52.37309,5.57,
0.587466,-3.592846,5.2,
0.592454,-0.50561,5.94,
0.594767,-48.000907,5.51,
0.602306,54.16845,5.08,
0.607595,60.326215,5.78,
0.612903,44.488587,5.14,
0.613142,15.231725,5.89,
0.61468,33.719344,4.34,
0.616188,53.896909,3.69,Fulu
0.622393,-24.767267,5.57,
0.622561,35.399501,5.45,
0.642602,29.311751,4.34,
0.652748,49.354589,5.45,
0.655462,30.861024,3.27,
0.656063,21.250472,5.88,
0.665436,21.438495,5.36,
0.673659,-59.454604,5.89,
0.675116,56.537331,2.24,Schedar
0.678437,-4.351841,5.9,
0.68533,39.458664,5.3,
0.688766,-46.085007,4.59,
0.69621,-56.501315,5.72,
0.700953,66.147592,5.83,
0.701081,50.512526,4.8,
0.707869,-65.46803,5.38,
0.711609,-60.262807,5.99,
0.722567,-57.46306,4.36,
0.724466,47.024546,4.95,
0.72649,-17.986605,2.04,Diphda
0.7365,-10.60955,4.77,
0.736683,-38.421686,5.9,
0.740612,47.863984,5.66,
0.74542,48.284364,4.48,
0.745666,-22.006135,5.22,
0.749187,-42.676558,5.94,
0.754774,55.221396,5.41,
0.760862,74.988073,5.64,
0.76265,-47.551985,5.8,
0.769929,-22.522097,5.49,
0.775822,15.475504,5.36,
0.783738,11.973849,5.51,
0.788981,24.267178,4.08,
0.789898,6.740956,5.98,
0.795339,-18.061339,5.7,
0.796119,74.847573,5.42,
0.800296,-21.722492,5.57,
0.802487,72.674482,5.86,
0.804836,7.299928,5.92,
0.806382,5.280615,5.74,96 G. Psc
0.809777,-74.923438,5.09,
0.811373,7.585079,4.44,
0.813892,50.968168,4.9,
0.816308,16.940644,5.07,
0.81826,57.815187,3.46,Achird
0.82054,-24.136672,5.9,
0.823782,-13.561274,5.59,
0.830234,41.078911,4.53,
0.831433,27.710286,5.55,
0.835443,-10.644326,5.17,
0.844768,-50.986816,5.24,
0.845442,64.247549,5.35,
0.877951,-24.005844,5.47,
0.883471,-1.14426,4.78,
0.884511,61.12397,4.8,
0.893839,-62.871352,5.73,
0.909785,19.188417,5.8,
0.914667,83.707435,5.59,
0.916139,23.628335,5.46,
0.916715,58.972698,4.83,
0.916751,-69.527084,5.45,
0.928444,-7.347149,5.88,
0.933747,-11.266526,5.35,
0.944432,59.181056,4.62,Castula
0.945143,60.71674,2.15,Cih
0.945885,38.499345,3.86,
0.946377,60.362836,5.56,
0.953445,23.417648,4.4,
0.963931,28.992217,5.44,
0.970615,33.950885,5.99,
0.975285,66.351793,5.97,
0.976766,-29.357449,4.3,
0.978852,-11.379975,5.62,
1.000988,44.713243,5.69,
1.02174,-38.916527,5.59,
1.040674,-31.552005,5.5,
1.046971,31.804263,5.5,
1.046997,-46.397311,5.39,
1.048407,41.345157,5.95,
1.049058,7.890135,4.27,
1.050705,-4.836601,5.4,
1.06028,61.074823,5.92,
1.06733,52.502161,5.99,
1.072084,61.580184,5.83,
1.084821,14.946133,5.64,
1.094709,21.473181,5.33,
1.094919,21.465442,5.55,
1.101407,-46.718414,3.32,
1.10143,-9.839354,5.58,
1.121838,-61.775289,5.36,
1.129502,-9.78555,5.71,
1.129957,-41.486916,5.21,
1.132544,20.739113,5.56,
1.133559,43.942092,5.04,
1.137477,54.92034,5.17,
1.1395,5.649819,5.51,
1.139742,-55.24576,3.94,Wurren
1.142627,58.263449,5.77,
1.143164,-10.182264,3.46,
1.145613,86.25709,4.24,
1.158368,47.241792,4.26,
1.162194,35.620558,2.07,Mirach
